pay_category_name,category,sub_category
Support services employee level 1 | Part-time | 18,Base rate,Base rate
Ord Time: Casual,Base rate,Base rate
"01 AD F&B CAS INT-12-7[WEEKDAY,!PH][0000-0700][][]",Base rate,Base rate
Ordinary Working Days,Base rate,Base rate
Travel Allowance (VIVIR GYMPIE),Allowances,Allowances
Overtime x 1.0,Penalty rate,Penalty rate
Bonus Accelerator,Bonuses,Bonus
Ordinary Hours- Project related,Penalty rate,Evening/Night
Annual Leave Pay Out,Leave,Leave
Permanent - Night Shift 12.00am to 7.00am,Penalty rate,Evening/Night
Kilometre Allowance - Car (above ATO limit),Allowances,Allowances
Casual Level 4,Base rate,Base rate
Time in Lieu Accrued,Base rate,Base rate
3 Lvl 3 F&B G3 [SUN][ALLDAY][][],Base rate,Base rate
Salary Super Adjustment,Base rate,Base rate
"3 A1 [WEEKDAY,!PH][2200-2400][][]",Base rate,Base rate
Lve Loading 25%,Base rate,Base rate
67 - 16YO KA1 [WEEKDAY][ALLDAY][][KITCHEN],Base rate,Base rate
Sleep Over,Penalty rate,Penalty rate
Sleep Over (Casual),Penalty rate,Penalty rate
Car Allowance - PAYGW Non Exempt,Allowances,Allowances
Allowance - Telephone,Allowances,Allowances
Sick Pay - Sales,Leave,Leave
Weekend Technical Support,Penalty rate,Weekend
Travel Expenses,Allowances,Travel
Casual - Shiftwork - Sunday,Penalty rate,Sunday
Physio / OT Wages SA,Penalty rate,Penalty rate
Travel VIC,Allowances,Travel
Casual - HIGA Ordinary Hours,Base rate,Base rate
Truck Allowance,Allowances,Allowances
1. CAFE FT F&B 19yrs [L2G2][ORD][][GCCAFE],Base rate,Base rate
"2 Cafe FT L2G2 [WEEKDAY,!PH][0000-0700][][GCCAFE]",Base rate,Base rate
Onsite Public Holiday,Penalty rate,Public Holiday
Base Hourly-Normal,Base rate,Base rate
"00 Adult K attnd G1- M-F[WEEKDAY,!PH][ALLDAY][][]",Base rate,Base rate
"03 Adult FT GAM atd G3 - Sat[SAT,!PH][ALLDAY][][]",Penalty rate,Saturday
Ordinary Hours : Management,Base rate,Base rate
00 RIA L2 Kit M-F[WEEKDAY][ALLDAY][][]		,Base rate,Base rate
Nurses Saturday Ordinary Hrs (1.5x),Penalty rate,Saturday
Car Allowance - PAYGW Exempt,Allowances,Allowances
HIGA - (Not Auto) - Supervisor Allowance (0-5 Employees),Allowances,Allowances
HIGA - (Not Auto) - Supervisor Allowance (6-10 Employees),Allowances,Allowances
HIGA - (Not Auto) - Cooks - Tool Allowance,Allowances,Allowances
HIGA - (Not Auto) - Vehicle Allowance - Up to ATO limit,Allowances,Allowances
Skill Allowance Lv.04,Allowances,Allowances
RIA - PT - Post-2018 - M-F - Ordinary,Base rate,Base rate
Skill Allowance Lv.06,Allowances,Allowances
Weekend Hourly Rate NSW,Penalty rate,Weekend
Loading / Unloading /Washing vehicle Allowance QLD,Allowances,Allowances
Cleaning Level 3 - Adult,Base rate,Base rate
HIGA - PT - Post-2018 - M-F - Ordinary,Base rate,Base rate
HIGA - FT - Post-2018 - Sat,Penalty rate,Saturday
HIGA - FT - Post-2018 - Sun,Penalty rate,Sunday
Paid Parental Leave-Cntrlk,Leave,Leave
19 Casual - Saturday,Penalty rate,Saturday
Dr. House Allowance,Allowances,Allowances
Leading Hand Allowance (1-10 employees) (per hour),Allowances,Allowances
45 - APPRENTICE Y2 [SAT][ALLDAY][][KITCHEN],Base rate,Base rate
Annual Leave - Sales & Marketing,Leave,Leave
Back Pay 2,Others,Backpay
Adult - Late Night (Mon - Fri) After 6pm,Penalty rate,Evening/Night
Bonus Directors 2018,Bonuses,Bonus
Level 5 FT - Sunday,Penalty rate,Sunday
Permanent - Overtime - After 3 hours (Flex Up),Penalty rate,Penalty rate
XHC Travel NSW,Allowances,Travel
Additional Hours - Finance Coordinator,Penalty rate,Penalty rate
3. Annualised Salary - Ordinary Hours,Base rate,Base rate
Asbestos Rate - Casual,Base rate,Base rate
Workcover Hours - 95% NSW,Others,WorkCover
HIGA - (Not Auto) - CAS/PT - Catering Employees - Laundry Allowance,Allowances,Allowances
Backpay with Super,Others,Backpay
5. COOK FT&PT L3G2 [SUN][ALLDAY][][GCCAFE],Base rate,Base rate
Ordinary Hours - RPU,Base rate,Base rate
Overtime (2x) 3+ hours,Penalty rate,Penalty rate
Casual - HIGA Sunday,Penalty rate,Sunday
Ordinary Hours - Support Services,Base rate,Base rate
Salary Sacrifice - Cars,Base rate,Base rate
Ordinary Earnings - Health Coaching Perm rate,Base rate,Base rate
Ordinary Hours - PT,Base rate,Base rate
Ordinary Earnings - Group Classes Perm rate,Base rate,Base rate
Administration Ordinary Hours,Base rate,Base rate
Frontline Property Management Bonus,Bonuses,Bonus
On Call Allowance $20.00,Allowances,Allowances
On Call Allowance $40.00,Allowances,Allowances
4B John Holland Site Allowance,Allowances,Allowances
Reimbursement - Tolls,Others,Reimbursement
Ordinary Earnings - Exercise Physiology Perm,Base rate,Base rate
Ordinary Earnings - Needs Assessments Perm rate,Base rate,Base rate
Permanent - Overtime 2.0,Penalty rate,Penalty rate
56 - 17YO [WEEKDAY][ALLDAY][][BAR],Base rate,Base rate
00 HIGA L2 Kit M-F[WEEKDAY][ALLDAY][][],Base rate,Base rate
PEA - Travel (above ATO limit),Allowances,Travel
Phone Allowance - John Drakakis,Allowances,Allowances
Double time (exempt from super),Penalty rate,Penalty rate
RIA - (Not Auto) - Tool Allowance - Apprentice Cooks,Allowances,Allowances
Compassionate Leave Taken (Non-Award),Leave,Leave
Parental Leave Unpaid,Leave,Leave
Permanent - Shiftwork - majority of hours between midnight and 8am - 30%,Penalty rate,Evening/Night
Backpay (BPAY),Others,Backpay
OT Public Holiday - 250%,Penalty rate,Penalty rate
ETP Payment in lieu of notice,Others,Severance
Bonus - Ordinary time earnings (OTE),Penalty rate,Penalty rate
50 Sun (L5.sun) [SUN][ALLDAY][][RP],Penalty rate,Sunday
Bonus PA,Bonuses,Bonus
PM Wages,Base rate,Base rate
Rcptn - Level 4A $30.78,Base rate,Base rate
Part Time Ordinary Hours (Rate 2),Base rate,Base rate
-- Childrens - OT x1.5,Penalty rate,Penalty rate
-- Childrens - OT x1.75,Penalty rate,Penalty rate
On-call allowance (Saturday & Sunday & P/H),Penalty rate,Saturday
Permanent - Overtime - Sunday,Penalty rate,Penalty rate
Back Pay - Permanent - Overtime (12 hour roster),Penalty rate,Penalty rate
Phone Allowance $50/mth,Allowances,Allowances
Casual - Shiftwork - majority of hours between midnight and 8am,Penalty rate,Evening/Night
Aqua Commissions,Bonuses,Commission
Saturday (x1.5),Penalty rate,Saturday
Sunday Rate (x2),Penalty rate,Sunday
"01 RA PT L1Kit Mid-6am[WEEKDAY,!PH][0000-0600][][]",Base rate,Base rate
Ordinary Hours - Stefan S,Base rate,Base rate
Administration Wages,Base rate,Base rate
Full-Time Overtime: 1st 3 Hours,Penalty rate,Penalty rate
ETP - Severance Pay (Taxable),Others,Severance
Commission (55% Bookings),Bonuses,Commission
Permanent - Overtime - Monday to Friday - first 2 hours,Penalty rate,Penalty rate
KPI Allowance,Allowances,Allowances
"2 CAS F&BL3A M-F 7-MID[WEEKDAY,!PH][1900-0000][][]",Penalty rate,Penalty rate
Overtime and half,Penalty rate,Penalty rate
Ordinary hours - Airport (old),Base rate,Base rate
Leading Hand - OT x2,Allowances,Allowances
PEA - Vehicle (ATO limit) MA component,Allowances,Allowances
Permanent - Ordinary Hours Administrative,Base rate,Base rate
Permanent- Oridnary Hours Management,Base rate,Base rate
Adult CAS FOH M-F 125%,Base rate,Base rate
Base Salary - BOH,Base rate,Base rate
Personal Leave Paid,Leave,Leave
Base Salary (Kronos),Base rate,Base rate
Wages - Direct Services,Base rate,Base rate
Bonus - Direct Services,Bonuses,Bonus
Apprentice Adult - 1st Year ,Base rate,Base rate
Laundry / Uniform Allowance,Allowances,Allowances
Ordinary Time - Corporate Admin,Base rate,Base rate
SCHCADS Vehicle Allowance,Allowances,Allowances
3 HIGA Level 1 CAS [WEEKDAY] [0000-0700][][],Base rate,Base rate
2 HIGA Level 2 CAS [WEEKDAY] [1900-0000][][],Penalty rate,Penalty rate
Level 6 cook (tradesperson) grade 5,Base rate,Base rate
Grade 2 - Saturday,Penalty rate,Saturday
1 HIGA Level 1 CAS [WEEKDAY] [0700-1900][][],Base rate,Base rate
Grade 1 - Sunday,Penalty rate,Sunday
Personal Leave-Unpaid,Leave,Leave
Worker's Compensation QLD,Others,WorkCover
Junior CAS M-F 125%,Base rate,Base rate
Week day Rate - Part/full time,Base rate,Base rate
FTC Overtime,Penalty rate,Penalty rate
Salary OT x2,Penalty rate,Penalty rate
"RIA - CAS - Intro, Lvl 1, Lvl 2 - post-2017",Base rate,Base rate
Bonus Corporate - Superable,Bonuses,Bonus
Mobile Phone Allowance - Corporate,Allowances,Allowances
RIA - FT - post-2017 - M-F OT - First 2 hours,Penalty rate,Penalty rate
RIA - FT - post-2017 - Sun,Penalty rate,Sunday
Permanent - Penalty rate Double Time,Penalty rate,Penalty rate
Elec Perm Level 1 Overtime (x1.5),Penalty rate,Penalty rate
Local Driving (B Double - OT) NSW,Penalty rate,Penalty rate
Elec Perm Level 1 Ordinary Time (8hrs M-F),Base rate,Base rate
Band Allowance (NonOTE),Base rate,Base rate
Night Shift Allow (OTE),Penalty rate,Penalty rate
Car Allowance ( Non Taxable),Allowances,Allowances
Permanent Overtime,Penalty rate,Penalty rate
Long Service Leave (FP),Leave,Leave
HIGA - CAS - post-2017 - Sat-Sun Daily OT,Penalty rate,Saturday
Casual Chef M-F,Base rate,Base rate
On-Call Allowance (Weekend or Public Holiday),Penalty rate,Weekend
Leading Hand Allowance (1-4 Employees),Allowances,Allowances
Sunday - Direct Services,Penalty rate,Sunday
Adult CAS BOH Intro/Lvl1/Lvl2 Saturday/Sunday 150%,Penalty rate,Saturday
4 2018 HK - PH [PH][ALLDAY][][],Penalty rate,Public Holiday
"1 2018 HK Base Rate [WEEKDAY,!PH][0700-1900][][]",Base rate,Base rate
Travel - Kms,Allowances,Travel
XHC KM ALLOWANCE NSW,Allowances,Allowances
Annual Leave Takennnnn,Leave,Leave
Rigger Allowance,Allowances,Allowances
Occasional BYOD Phone Allowance,Allowances,Allowances
MS - Sales RM Commission,Bonuses,Commission
On Call Standby Allowance,Allowances,Allowances
On Call - Sunday,Penalty rate,Sunday
SCHCADS Vehicle Allowance - Up To ATO Limit,Allowances,Allowances
Casual - Double Shift OT (225%),Penalty rate,Penalty rate
INDIRECT - Ordinary Hours,Base rate,Base rate
Cultural Leave Taken,Leave,Leave
Prop Mgmt Motor Vehicle Allowance - 10c above ATO,Allowances,Allowances
On call duty allowance,Allowances,Allowances
Digital Wages,Base rate,Base rate
On Call - Saturday,Penalty rate,Saturday
Car taxable allowance,Allowances,Allowances
Wages Sydney,Base rate,Base rate
Ordinary Hours with no Tax / Super,Base rate,Base rate
19 - KA2 [WEEKDAY][ALLDAY][][KITCHEN],Base rate,Base rate
Overnight Allowance - Super Exempt VIC,Allowances,Allowances
Elec Perm Level 2 Ordinary time (8 M-F),Base rate,Base rate
Annual Leave - Cashout,Leave,Leave
00 RIA L2 Kit M-F[WEEKDAY][ALLDAY][][],Base rate,Base rate
Overtime Hours (Labor Hire),Penalty rate,Penalty rate
Casual- Saturday IE,Penalty rate,Saturday
Holiday Pay - Sales,Penalty rate,Public Holiday
Holiday Pay Accrual - Directors,Penalty rate,Public Holiday
Night Allowance - Meal,Allowances,Allowances
Casual Fixed Rate x50,Base rate,Base rate
Adult FT PT FOH Level 2,Base rate,Base rate
Casual Ordinary Hours MFG,Base rate,Base rate
Car Cents per Km Allowance,Allowances,Allowances
Casual - Overtime x 200%,Penalty rate,Penalty rate
Unused Holiday Pay-Resignation,Penalty rate,Public Holiday
Tool Allowance - 4thYr Apprenti,Allowances,Allowances
Standby Sunday,Penalty rate,Sunday
Ordinary Hours - CSM,Base rate,Base rate
MV Reimb x .10 per km (extra - take to .78c),Allowances,Allowances
Phone Allowance $80/mth,Allowances,Allowances
"1 CAS KAL1A M-F MID-7[WEEKDAY,!PH][0000-0700][][]",Base rate,Base rate
Holiday Bonus Payment,Bonuses,Bonus
Lay Ministers Taxable Stipend,Base rate,Base rate
Admin Hourly,Base rate,Base rate
Meal Allowance on Overtime,Penalty rate,Penalty rate
Local Overtime ,Penalty rate,Penalty rate
"03 Adult GAM attnd G3 - Sat[SAT,!PH][ALLDAY][][]",Penalty rate,Saturday
Commission -  Advance,Bonuses,Commission
Allowance Car - PMD,Allowances,Allowances
Allowance Mobile - Sales Exempt,Allowances,Allowances
Commissions - Richmond,Bonuses,Commission
RIA - CAS - Lvl 3 and above - Post-2018 - M-F - Ordinary,Base rate,Base rate
Casual - Penalty rate 12.5%,Penalty rate,Penalty rate
MV Allowance (Pre-tax),Allowances,Allowances
Casual Loading Normal (CW3),Base rate,Base rate
ETP - Type O,Others,Severance
Adult CAS Intro/Lvl1/Lvl2 Public Holiday 250%,Penalty rate,Public Holiday
Overtime Ngoc Xuan Le x 2,Penalty rate,Penalty rate
Backpay - Bookkeeping & Pharmacy,Others,Backpay
TIL Accrued,Base rate,Base rate
Back Pay - Permanent - Overtime - Double Time,Penalty rate,Penalty rate
Back Pay - Saturday,Penalty rate,Saturday
Meal Allowance taxed,Allowances,Allowances
Personal Leave - Rentals,Leave,Leave
Earnings in Excess of Max Superannuation Cap,Penalty rate,Penalty rate
Casual - Ordinary Project Coordinator,Base rate,Base rate
Casual - Overtime Saturday,Penalty rate,Penalty rate
Wages - Delivery,Base rate,Base rate
Centrelink Maternity Leave Payment,Leave,Leave
Apryl Reception Hours - Weekdays,Base rate,Base rate
LTS - Level 3 $26.77,Base rate,Base rate
RIA - PT - Post-2018 - Sat,Penalty rate,Saturday
Overtime Hours x 1.65 (ex super),Penalty rate,Penalty rate
Base Hourly - PM,Base rate,Base rate
Cellar Door Weekend x1.65 (Casuals),Penalty rate,Weekend
Car Allowance - Principal,Allowances,Allowances
Bonus - Producer,Bonuses,Bonus
Ordinary Earnings - Support Staff,Base rate,Base rate
Ordinary Earnings - Principal,Base rate,Base rate
Vessel Allowance,Allowances,Allowances
Travel Allowance GP,Allowances,Allowances
ECC Extra Shift,Penalty rate,Penalty rate
Night Work - Ordinary Hours,Penalty rate,Evening/Night
Base Hourly - Administration Staff,Base rate,Base rate
Casual; Introductory; 16; Weekend,Penalty rate,Weekend
Permanent - Overtime - Monday to Friday - after 2 hours,Penalty rate,Penalty rate
Overtime (1.5x) - Admin,Penalty rate,Penalty rate
Mobile Phone Allowance - Support Staff,Allowances,Allowances
Ordinary Hours - Part Time,Base rate,Base rate
-- Childrens - OT x2.75,Penalty rate,Penalty rate
Public Holiday NSW,Penalty rate,Public Holiday
SCHCADS On Call Allowance (Weekday),Allowances,Allowances
Casual - Event,Base rate,Base rate
0 WSL2A M-F[WEEKDAY][ALLDAY][][WS],Base rate,Base rate
ACY1 ORD SATURDAY,Penalty rate,Saturday
0 WSL1A M-F[WEEKDAY][ALLDAY][][WS],Base rate,Base rate
0 KHL1A M-F[WEEKDAY][ALLDAY][][KH],Base rate,Base rate
Ord Hours: Chef De Partie,Base rate,Base rate
"1 KHL1A Mid-6am[WEEKDAY,!PH][0000-0600][][KH]",Base rate,Base rate
"2 WSL1A 10pm-Mid[WEEKDAY,!PH][2200-0000][][WS]",Penalty rate,Penalty rate
Ord Hours: Bar Manager,Base rate,Base rate
Ord Hours: Kiosk Manager,Base rate,Base rate
Ord Hours: Exec Head Chef,Base rate,Base rate
Casual - Ordinary Hours MI,Base rate,Base rate
Permanent - Ordinary Hours MI,Base rate,Base rate
0 HSL2A M-F[WEEKDAY][ALLDAY][][HS],Base rate,Base rate
PT Level1 Weekday,Base rate,Base rate
RIA - CAS - Lvl 3 and above - Post-2018 - Sun,Penalty rate,Sunday
Overtime Hours x1.5 (exempt from super),Penalty rate,Penalty rate
RN Casual - Saturday,Penalty rate,Saturday
Back Pay - Ordinary,Others,Backpay
Elec 3rd Year Overtime (x2),Penalty rate,Penalty rate
Away from home allowance,Allowances,Allowances
Permanent - Overtime - Saturday before 12 noon - after 2 hours,Penalty rate,Penalty rate
Weekday $39.88,Base rate,Base rate
0217 Public Holiday,Penalty rate,Public Holiday
6pm - 8am Shift Loading 25%,Base rate,Base rate
Allowance General,Allowances,Allowances
Overtime Earnings - 1.25 times,Penalty rate,Penalty rate
LAFHA - Travel Fare,Allowances,Allowances
Public Holiday (Not worked),Penalty rate,Penalty rate
Kilometer Allowance,Allowances,Allowances
TRN FOH L2A M-F [WEEKDAY][ALLDAY][][FOHT],Base rate,Base rate
Car Allowance - Management,Allowances,Allowances
Back Pay.,Others,Backpay
HPSSA - CAS - Other sectors - Sun,Penalty rate,Sunday
Ordinary Hours*,Base rate,Base rate
Meal Allowance (YRD),Allowances,Allowances
Salary Loading 25%,Base rate,Base rate
Uniform Allowance To Purchase IThowto Tops,Allowances,Allowances
FFIA - (Not Auto) - CAS/PT - Laundry Allowance,Allowances,Allowances
FFIA - (Not Auto) - Non Delivery Drivers - Vehicle Allowance (Up to ATO Limit),Allowances,Allowances
RIA - (Not Auto) - Split shift allowance,Allowances,Allowances
Bonus - Tax,Bonuses,Bonus
Apprentice/Trainee,Base rate,Base rate
Redundancy (taxable component),Others,Severance
Fixed Earnings,Base rate,Base rate
Commissions/Bonuses,Bonuses,Bonus
Laundry Allowance - Motel Employees - above ATO threshold,Allowances,Allowances
Permanent - Mon-Sat Overtime (First 3 hours),Penalty rate,Penalty rate
Permanent - Saturday Overtime,Penalty rate,Penalty rate
Casual - Overtime x 50,Penalty rate,Penalty rate
Payroll adjustment,Base rate,Base rate
Tech Allowance - per unit,Allowances,Allowances
Industry allowance  - OT - x1.5,Allowances,Allowances
Tool allowance x2.0,Allowances,Allowances
Casual - Sunday Overtime,Penalty rate,Penalty rate
In Lieu of Notice Period,Base rate,Base rate
Sunday - G4,Penalty rate,Sunday
FFIA - CAS - Lvl 2 and 3 - Post-2018 - M-F Ordinary,Base rate,Base rate
FFIA - (Not Auto) - District Allowance - Broken Hill,Allowances,Allowances
Saturday Casual Rate Nantawan Prasuwan after 12pm,Penalty rate,Saturday
Overtime Piyapat Mannix x 2,Penalty rate,Penalty rate
HPSS Vehicle allowance - up to ATO limit,Allowances,Allowances
Garden First aid allowance,Allowances,Allowances
"3 2018 HK - SUN [SUN,!PH][ALLDAY][][]",Penalty rate,Sunday
Registrars Back Pay,Others,Backpay
1.5x Overtime,Penalty rate,Penalty rate
Sunday (Casual 9am - 6pm),Penalty rate,Sunday
Crew Leading Allowance,Allowances,Allowances
OT Cas daily first 3 hrs (MFTG),Penalty rate,Penalty rate
Bereavement Leave,Leave,Leave
"02 HIGA L2 Deli [WEEKDAY,!PH][1900-0000][][]",Penalty rate,Penalty rate
Part Time - Time and a Half (Rate 2),Penalty rate,Penalty rate
Public Holiday Sydney,Penalty rate,Public Holiday
Casual Saturday - 2nd Job Casual PN,Penalty rate,Saturday
5 Gen L5 M-F [WEEKDAY][ALLDAY][][M Super],Base rate,Base rate
5 Gen L5 M-F [WEEKDAY][ALLDAY][][S Super],Base rate,Base rate
6 Gen L5 7-12 [WEEKDAY][1900-0000][][S Super],Penalty rate,Penalty rate
Base Salary - General,Base rate,Base rate
1 Kit L3 7-12 [WEEKDAY][1900-0000][][],Penalty rate,Penalty rate
3 Gen L3 Sun [SUN][ALLDAY][][],Penalty rate,Sunday
Casual - Time and Half,Penalty rate,Penalty rate
1 Kit L2 7-12 [WEEKDAY][1900-0000][][],Penalty rate,Penalty rate
Ordinary Hours - VIC Custom,Base rate,Base rate
"2 BAL2A 10pm-Mid[WEEKDAY,!PH][2200-0000][][BA]",Penalty rate,Penalty rate
0 WSL218 M-F[WEEKDAY][ALLDAY][][WS],Base rate,Base rate
Casual Day Rate,Base rate,Base rate
Casual - Clinic Hrs up to 12:30pm on Saturday,Penalty rate,Saturday
Event Manager (LP),Base rate,Base rate
Allowance - exempt from super,Allowances,Allowances
Redundancy Non Taxable,Others,Severance
Commissions - Armadale,Bonuses,Commission
Casual - Overtime - Monday to Friday - first 2 hours,Penalty rate,Penalty rate
Sick Leave Pay,Leave,Leave
Casual - Afternoon shift - starts at 10am and before 1pm,Base rate,Base rate
Unpaid Study Leave Taken,Leave,Leave
Assistant Manager Allowance,Allowances,Allowances
Casual Level 4 - Saturday,Penalty rate,Saturday
Night Shoots,Penalty rate,Penalty rate
Saturday Rate - Part/Full time ,Penalty rate,Saturday
Ordinary Hours - Sign Production,Base rate,Base rate
Ordinary Hours - IT,Base rate,Base rate
FFIA - (Not Auto) - Cold work allowance,Allowances,Allowances
Casual Overtime - Time and a Half,Penalty rate,Penalty rate
Overtime (x1.5),Penalty rate,Penalty rate
Bonus Management and Admin,Bonuses,Bonus
Overtime Hours 1.5 Base,Penalty rate,Penalty rate
Ex Gratia,Bonuses,Bonus
Overtime Over 2 Hours Mon-Sat BP Admin Award,Penalty rate,Penalty rate
Personal Care Taken,Leave,Leave
Permanent Ordinary Hours (NO SGC),Base rate,Base rate
Casual - Overtime - Saturday - first 3 hours - day worker,Penalty rate,Penalty rate
Saturday rate cleaner,Penalty rate,Saturday
Ordinary Hours (Fixed Amount),Base rate,Base rate
Weekend or PH Shift Loading 50%,Penalty rate,Weekend
FT - Overtime x1.5,Penalty rate,Penalty rate
Advance Payments Annual Leave,Leave,Leave
06 Sunday[SUN][ALLDAY][][],Penalty rate,Sunday
Award Base Hourly,Base rate,Base rate
BANHigh School Casual Hours Sunday,Penalty rate,Sunday
Permanent Public Holiday (not worked),Penalty rate,Penalty rate
Permanent - Saturday - 4am - 6pm - meat retail / wholesale sales - not shiftworkers,Penalty rate,Saturday
Base Hourly - Corporate,Base rate,Base rate
SAT Overtime,Penalty rate,Penalty rate
SUN Overtime,Penalty rate,Penalty rate
Rosters Operations Manager,Base rate,Base rate
02 CAS LEVEL 1 Sat[SUN][0000-0500][][],Base rate,Base rate
"RIA - CAS - Intro, Lvl 1, Lvl 2 - Post-2018 - Sat Weekly OT - After 2 hours",Penalty rate,Saturday
00 CAS LEVEL 1 M-F[WEEKDAY][ALLDAY][][],Base rate,Base rate
Bonus-no super,Bonuses,Bonus
Casual - Saturday (Retail),Penalty rate,Saturday
18 Commi Chef 7am,Base rate,Base rate
HOST Manager Bonus,Bonuses,Bonus
Production Day Level 3,Base rate,Base rate
Wage Adjust,Base rate,Base rate
Public Holiday Melbourne,Penalty rate,Public Holiday
Directors Allowance MS,Allowances,Allowances
Stock Controller Sunday,Base rate,Base rate
z Back Pay Clerical,Others,Backpay
CP - Sales Commission,Bonuses,Commission
Adult FT PT Level 2,Base rate,Base rate
"RIA - CAS - Intro, Lvl 1, Lvl 2 - Post-2018 - M-F Weekly OT - After 2 hours",Penalty rate,Penalty rate
Lvl 4 - Base Hourly (Baker),Base rate,Base rate
All Ord x 0.3,Penalty rate,Penalty rate
Lvl 1 - Base Hourly,Base rate,Base rate
Salary - Director Sales,Base rate,Base rate
Apprentice 1st Year (55%),Base rate,Base rate
Additional Hours-Casual,Penalty rate,Penalty rate
Maternity / Paternity Pay,Leave,Leave
Rcptn Level 6 - Adult,Base rate,Base rate
18 Snr Supervisor 7am,Base rate,Base rate
Transport Allowance (12c),Allowances,Allowances
Casual - Day work - Saturday,Penalty rate,Saturday
1Day Rate - Flying Duty,Base rate,Base rate
Sat (OT) - (12am - 7am) [Level 3|6],Penalty rate,Penalty rate
Saturday Hours 7am-7pm,Penalty rate,Saturday
Casual - Ordinary CP,Base rate,Base rate
Casual Ordinary hours (Flat),Base rate,Base rate
Bonus: BOH: Performance,Bonuses,Bonus
XAC Travel Allowance - Western Australia,Allowances,Allowances
Base Hourly OM 2018 (Snr),Base rate,Base rate
OT Public Holiday - 260%,Penalty rate,Penalty rate
BAN 2nd app o/t 200%,Penalty rate,Penalty rate
1Day Rate - Non Flying Duty,Base rate,Base rate
Weekday $26.60,Base rate,Base rate
GRIA - Post-1Nov-2018 - (Not Auto) - Cold Work Allowance,Allowances,Allowances
Coordinator-G3-PubHol,Penalty rate,Public Holiday
Time in Lieu- Taken,Base rate,Base rate
Back Pay Adj,Others,Backpay
Workcover @ 95%,Others,WorkCover
Inn BP3 Supervisor Bespoke $27.15,Base rate,Base rate
Permanent - Saturday after 3hrs,Penalty rate,Saturday
Public Holiday QLD,Penalty rate,Public Holiday
Junior CAS FOH M-F 125%,Base rate,Base rate
LAFHA Allowance,Allowances,Allowances
Ordinary Time - Permanent (WA),Base rate,Base rate
"2 WSL3A 10pm-Mid[WEEKDAY,!PH][2200-0000][][WS]",Penalty rate,Penalty rate
ACY1 ORD M-F 10pm-Mid,Base rate,Base rate
Safety Officer Sunday,Penalty rate,Sunday
First Aid Allowance (GP),Allowances,Allowances
Artistic Directors Salary,Base rate,Base rate
19 Casual - Hours After 6pm,Base rate,Base rate
"6 ON CALL [WEEKDAY, SAT, SUN,!PH][2200-0700][][]",Base rate,Base rate
CSO Sunday,Penalty rate,Sunday
Casual - Production - Seamstress Sunday,Penalty rate,Sunday
LAFHA - Meals,Allowances,Allowances
Bonus D,Bonuses,Bonus
PH Gross Hourly - Employee / Delivery Driver 19yo,Penalty rate,Public Holiday
Ordinary Hours LC,Base rate,Base rate
Overtime Hours Saturday-LC,Penalty rate,Penalty rate
Overtime Hours Sunday-LC,Penalty rate,Penalty rate
Ordinary Hours HO,Base rate,Base rate
Ordinary Earnings - Property Management,Base rate,Base rate
M - F (10pm - 12am) - [Level 1 | 2],Penalty rate,Penalty rate
RIA - FT - Post-2018 - Sat,Penalty rate,Saturday
Unpaid Parental/Maternity,Leave,Leave
Production Day Level 2,Base rate,Base rate
Base Hourly - Saturday,Penalty rate,Saturday
"01 RIA L5 Kit Mid-6am[WEEKDAY,!PH][0000-0600][][]",Base rate,Base rate
Saturday $47.85,Penalty rate,Saturday
Casual - Overtime x 100%,Penalty rate,Penalty rate
Overtime 2.0 Prod Day Level 2,Penalty rate,Penalty rate
DP HIGA CAS - L3 - Guest service Gd3 - Sun,Penalty rate,Sunday
INN BP3 CAS Mon-Sun BESPOKE,Penalty rate,Sunday
Ordinary Hours - (A) Bus Dev,Base rate,Base rate
Ordinary Hours Casual,Base rate,Base rate
time in lieu- earned,Base rate,Base rate
Rental Allowance,Allowances,Allowances
HRO TFR BP4 CAS Supervisor + Pen M-F,Base rate,Base rate
Laundry allowance - up to ATO threshold,Allowances,Allowances
Travel - Cents per Km,Allowances,Allowances
Casual- Ordinary Maintenance,Base rate,Base rate
Permanent-Sunday,Penalty rate,Sunday
Overtime (Struc) - Vol - W-end / Pub. Hol - TOIL ,Penalty rate,Penalty rate
1.Annualised Salary,Base rate,Base rate
Public Holiday x 2,Penalty rate,Public Holiday
Meal Allowance > 10hrs,Allowances,Allowances
Overtime Hours 1.25x,Penalty rate,Penalty rate
Retainers Recovered,Base rate,Base rate
BAN PERMANENT ORDINARY HOURS,Base rate,Base rate
Permanent - Overtime - after 2 hours,Penalty rate,Penalty rate
Flat Rate Additional Hour (OT),Penalty rate,Penalty rate
Bonus (super inclusive),Bonuses,Bonus
Allowances VIC Support subj/ to tax and super,Allowances,Allowances
Car Allowance - Aaron,Allowances,Allowances
3 Kit L1 18Y Sun [SUN][ALLDAY][][],Penalty rate,Sunday
WORKERS COMPENSATION,Others,WorkCover
Allowances Commission,Allowances,Allowances
Nurses Study and Training Allowance - Nurses,Allowances,Allowances
01 Coordinator-G2 [WEEKDAY][ALLDAY][][],Base rate,Base rate
Additional Hours - GEN,Penalty rate,Penalty rate
Purple Team Travel,Allowances,Travel
RIA - Lvl 3 and above - Sat Minimum shift engagement,Penalty rate,Saturday
1st Year Apprentice MA - OT x 1.5,Penalty rate,Penalty rate
